"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"219624_at"	"BAG4"	79.33657516	79.36346867	76.8489913	78.2752684466667
"219625_s_at"	"COL4A3BP"	91.4164622766667	105.245278086667	76.1066085066667	80.04511377
"219626_at"	"FLJ12649"	74.23841391	82.7438615166667	75.1839492366667	62.6483784966667
"219627_at"	"FLJ12700"	53.5355808733333	45.0318581833333	47.1235526	61.48005933
"219628_at"	"WIG1"	305.409910033333	272.376943966667	231.4764919	309.149457166667
"219629_at"	"C22orf8"	116.4486621	96.29231076	73.2604186633333	127.374489566667
"219630_at"	"PDZK1IP1"	32.7490902866667	36.7263361	35.0909144166667	33.58258764
"219631_at"	"LRP12"	113.086044166667	110.635698633333	99.76425886	104.0360469
"219632_s_at"	"TRPV1"	22.1417159333333	18.9921451266667	22.3659754266667	20.09150436
"219633_at"	"C20orf121"	46.37944493	43.39686003	45.3403475866667	53.8100803066667
"219634_at"	"CHST11"	527.727867766667	606.479802433333	673.4992087	527.290641833333
"219635_at"	"ZNF606"	60.8707137033333	63.0184545266667	65.93653024	64.2679371433333
"219636_s_at"	"ARMC9"	27.66457445	29.3835491833333	32.37367126	29.57903682
"219637_at"	"ARMC9"	36.6174413866667	34.7900784533333	36.55361941	36.23154513
"219638_at"	"FBXO22"	24.6331516133333	22.8486673133333	21.8604357466667	24.5231026766667
"219639_x_at"	"PARP6"	567.7091303	457.474302933333	522.951017466667	600.871891133333
"219640_at"	"CLDN15"	59.29965249	72.3079519333333	73.7371801	68.28936475
"219641_at"	"DET1"	242.831584366667	242.145551833333	258.651429133333	223.938324233333
"219642_s_at"	"PEX5L"	17.8945151366667	19.3331798533333	19.1208046333333	18.7219884666667
"219643_at"	"LRP1B"	18.3286088733333	19.4750604166667	17.34646227	19.2672894233333
"219644_at"	"NY-REN-58"	88.22390588	73.7204897433333	54.9645340233333	87.04151163
"219645_at"	"CASQ1"	19.2485738566667	18.52974332	19.0675194933333	20.5988011733333
"219646_at"	"FLJ20186"	219.0090701	213.245207933333	315.860647366667	201.415332433333
"219647_at"	"POPDC2"	20.2949466466667	20.46805154	19.2223784733333	21.10762479
"219648_at"	"DSU"	214.655124533333	215.400376733333	204.2692725	193.263672633333
"219649_at"	"ALG6"	415.071149533333	357.6085645	346.2922012	391.057208633333
"219650_at"	"FLJ20105"	156.555895966667	175.5722556	169.4797271	163.922541633333
"219651_at"	"DPPA4"	16.92121252	15.6654824033333	17.84665106	16.2996155333333
"219652_s_at"	"CXorf36"	24.9574083566667	23.3812010633333	24.2662612833333	23.29611535
"219653_at"	"FAM61B"	59.09457821	55.5478832	53.3751786733333	54.6202839166667
"219654_at"	"PTPLA"	2139.2817	2034.68246233333	2209.40103466667	2072.40678533333
"219655_at"	"C7orf10"	25.03949747	28.0878306666667	22.66458985	24.83284932
"219656_at"	"PCDH12"	24.95198467	27.7055856433333	27.48546953	24.9764330133333
"219657_s_at"	"KLF3"	108.656908943333	123.359595933333	109.122553983333	108.502247126667
"219658_at"	"PTCD2"	106.53923176	85.58791126	75.76116494	117.1820094
"219659_at"	"ATP8A2"	36.3920507433333	38.6041977433333	41.19534978	44.2664809066667
"219660_s_at"	"ATP8A2"	50.68513166	51.3344975	49.4196780766667	47.6178629233333
"219661_at"	"RANBP17"	44.4787405	41.97258968	38.33886753	41.6080073533333
"219662_at"	"MGC5509"	236.241636866667	237.3656212	253.464687466667	222.861826766667
"219663_s_at"	"MGC4659"	18.7644466266667	20.6816959833333	19.7886213566667	17.9373601766667
"219664_s_at"	"DECR2"	49.69018454	48.63007271	59.4909192333333	47.4839361966667
"219665_at"	"NUDT18"	42.0633334166667	42.0975676333333	56.19808468	42.21157054
"219666_at"	"MS4A6A"	79.03635899	67.86388935	82.1987466666667	84.5332113066667
"219667_s_at"	"BANK1"	46.0290225866667	49.46945803	48.0163844033333	41.74724067
"219668_at"	"GDAP1L1"	23.60945201	24.3811613633333	23.3040620366667	24.05651067
"219669_at"	"CD177"	21.7822014533333	21.77806568	21.5657035566667	20.9730802133333
"219670_at"	"C1orf165"	21.23822796	20.5268154733333	20.2606237033333	21.41457454
"219671_at"	"HPCAL4"	20.49004876	20.4676304966667	21.93213894	18.5974522233333
"219672_at"	"ERAF"	33.0780556533333	32.9641271066667	35.3676838733333	30.8656811
"219673_at"	"C6orf61"	38.0960724133333	37.8312666633333	35.9140644033333	35.995239
"219674_s_at"	"PRO2900"	26.46284273	22.3221885066667	26.6557678833333	28.4938831733333
"219675_s_at"	"UXS1"	322.4055825	346.060324333333	323.4721611	325.460650666667
"219676_at"	"ZNF435"	78.2790297433333	83.9655929366667	70.9755266666667	81.3573421566667
"219677_at"	"SPSB1"	28.21374053	31.5727522366667	32.28927663	31.32875776
"219678_x_at"	"DCLRE1C"	534.1944471	370.545501233333	322.673963	576.024929533333
"219679_s_at"	"WAC"	518.2497601	543.021250066667	382.869513366667	524.3647058
"219680_at"	"NOD9"	176.986853966667	175.7090175	230.6600435	194.263628866667
"219681_s_at"	"RAB11FIP1"	28.6657210466667	26.93205756	29.1477609766667	26.5906474166667
"219682_s_at"	"TBX3"	18.3728410566667	18.9977994166667	18.2601677533333	18.3220252166667
"219683_at"	"FZD3"	65.5982129633333	62.4530614333333	54.2661254066667	67.0836603333333
"219684_at"	"IFRG28"	22.0529097466667	23.18144394	21.31487303	26.0500854533333
"219685_at"	"TMEM35"	16.2933218533333	16.1548528533333	16.5841766033333	15.9861032733333
"219686_at"	"STK32B"	22.6378438333333	22.8548333566667	23.40810456	25.1115222733333
"219687_at"	"HHAT"	21.5629719066667	21.2060952866667	20.9654635833333	21.5541709566667
"219688_at"	"BBS7"	34.1495319866667	36.8097897266667	32.7206434333333	35.1567149266667
"219689_at"	"SEMA3G"	60.9168717033333	59.9839003466667	50.8075495166667	67.2784027533333
"219690_at"	"U2AF1L4"	195.2249437	213.6186133	259.00049	217.8095923
"219691_at"	"SAMD9"	90.80099481	92.0743064166667	90.1870930033333	90.4063608066667
"219692_at"	"KREMEN2"	22.7151299266667	24.4605606066667	27.8979038833333	26.03074132
"219693_at"	"AGPAT4"	80.74293241	64.6963015166667	70.3677913766667	83.04172714
"219694_at"	"FLJ11127"	35.5644520133333	37.6128233033333	36.4533445033333	35.3507062766667
"219695_at"	"SMPD3"	23.91547111	24.5978555166667	25.1361010866667	24.2273462133333
"219696_at"	"FLJ20054"	154.929273466667	136.539786143333	111.922843806667	170.1646092
"219697_at"	"HS3ST2"	24.5846245566667	26.71608125	25.98959083	24.35154209
"219698_s_at"	"METTL4"	43.2577409233333	37.5392479533333	42.6543369533333	44.3921743833333
"219699_at"	"LGI2"	23.5162332233333	26.73843102	25.6953409633333	25.27329435
"219700_at"	"PLXDC1"	19.7425059633333	20.5611223866667	22.47305896	21.2775903766667
"219701_at"	"TMOD2"	18.44467937	19.1403846033333	17.5909542333333	19.7181631566667
"219702_at"	"PLAC1"	23.3669923633333	24.2711640566667	25.24309408	23.0442407333333
"219703_at"	"MNS1"	194.9065639	199.420256966667	164.215423333333	209.490197133333
"219704_at"	"YBX2"	31.35544092	32.12903222	30.0297232566667	31.38976227
"219705_at"	"FLJ21924"	22.7366610966667	22.6716440933333	21.66353761	25.78672404
"219706_at"	"C20orf29"	114.797657066667	112.755518956667	161.5461244	106.516058966667
"219707_at"	"CPNE7"	51.2549207533333	45.93603206	54.59936721	49.06962157
"219708_at"	"NT5M"	50.7554252633333	52.0804128133333	56.9886962266667	44.9568458833333
"219709_x_at"	"C16orf24"	131.7998724	144.636700266667	175.683312833333	119.883582866667
"219710_at"	"SH3TC2"	18.6623483066667	20.6103232133333	18.8931746066667	17.9297940766667
"219711_at"	"ZNF586"	106.895760366667	96.9728224833333	93.3025697333333	126.6173503
"219712_s_at"	"TRPV1 /// CARKL"	22.4948512966667	23.2936739633333	25.2412086733333	22.6593723033333
"219713_at"	"CARKL"	49.7370068966667	51.0984704566667	53.53396966	44.56536377
"219714_s_at"	"CACNA2D3"	32.0384470766667	40.4150664033333	51.2613655566667	34.3975368533333
"219715_s_at"	"TDP1"	266.755642066667	276.6239937	297.452845433333	276.647623133333
"219716_at"	"APOL6"	43.5597550266667	39.49813767	39.4042909233333	45.5254823
"219717_at"	"FLJ20280"	178.9296937	164.9716347	144.81765755	176.2812904
"219718_at"	"FLJ10986"	41.0906594833333	39.96985138	39.6935910233333	40.50395432
"219719_at"	"HIGD1B"	32.6443061333333	30.9040953666667	33.37719978	28.77294554
"219720_s_at"	"C14orf118"	32.8253376333333	29.4582055533333	30.8703868266667	30.4393617066667
"219721_at"	""	27.2956964433333	32.9993008833333	28.1016501066667	29.3919196733333
"219722_s_at"	"GDPD3"	23.0011000533333	25.75042384	26.5512426866667	25.37399408
"219723_x_at"	"AGPAT3"	53.84392476	65.6997606066667	56.8469243766667	54.4883577
"219724_s_at"	"KIAA0748"	214.4816013	212.176116433333	191.7074901	200.7178759
"219725_at"	"TREM2"	27.16879753	30.9242091133333	26.6457997266667	26.6928522466667
"219726_at"	"NLGN3"	30.5155371166667	27.7099558133333	29.2544930533333	31.54608318
"219727_at"	"DUOX2"	17.8140570833333	18.51755212	18.4621698	18.54599737
"219728_at"	"MYOT"	20.19036032	20.61067528	21.2240550833333	20.4536841433333
"219729_at"	"PRRX2"	32.45244408	34.5363810266667	33.9145032766667	33.6812303133333
"219730_at"	"MED18"	47.9605995833333	53.0272805633333	55.7523458866667	48.30242506
"219731_at"	"FLJ34077"	250.5036055	233.852834133333	230.122991033333	240.239016166667
"219732_at"	"PRG-3"	21.96961981	24.7787099466667	24.4111242133333	23.2227675733333
"219733_s_at"	"SLC27A5"	189.863330566667	196.613149866667	244.8678553	201.5621479
"219734_at"	"SIDT1"	25.9841566233333	31.3860611566667	28.0518212233333	23.8773844833333
"219735_s_at"	"TFCP2L1"	59.54982744	65.3637608133333	66.5602192533333	67.1281441066667
"219736_at"	"TRIM36"	25.15607142	24.9785319366667	20.3001391666667	25.6987359266667
"219737_s_at"	"PCDH9"	26.7878656166667	26.847885	21.46819169	24.5315990166667
"219738_s_at"	"PCDH9"	20.4436393966667	23.6015755333333	19.9570248233333	22.7245580566667
"219739_at"	"RNF186"	22.6744466866667	23.0340935466667	25.6249867366667	23.94458227
"219740_at"	"FLJ12505"	31.2901896733333	33.78889319	30.2976627166667	33.6603154266667
"219741_x_at"	"ZNF552"	21.6663763233333	22.2423223033333	26.9274227533333	23.3975581533333
"219742_at"	"PRR7"	27.3301320366667	27.1442529266667	29.0380583933333	23.92568932
"219743_at"	"HEY2"	31.60472505	36.73855561	32.9516053166667	29.0881130133333
"219744_at"	"FN3K"	21.50135708	26.1139307366667	24.08900267	20.7715830066667
"219745_at"	"C10orf77"	63.9158251566667	59.9090450333333	78.3710944333333	65.9885849233333
"219746_at"	"DPF3"	30.9057402233333	29.18280492	28.1469856	31.8461755266667
"219747_at"	"FLJ23191"	21.0232544866667	20.0996109333333	22.6881282666667	21.8545054166667
"219748_at"	"TREML2"	182.479597833333	219.873974166667	190.0854999	171.0093354
"219749_at"	"SH2D4A"	34.5332047033333	35.1592324866667	36.8198368233333	37.9808170066667
"219750_at"	"FLJ11155"	22.1045801366667	23.9614047566667	22.03171022	22.4402292
"219751_at"	"FLJ21148"	30.5204670033333	36.0843554466667	32.9943356966667	28.9575716166667
"219752_at"	"RASAL1"	30.0326148833333	28.96693381	32.91271351	29.4089207966667
"219753_at"	"STAG3"	51.4720431366667	50.1452933166667	60.5569440333333	48.97201953
"219754_at"	"FLJ11016"	51.3544379066667	44.4038374533333	32.94934504	57.8185183166667
"219755_at"	"CBX8"	23.5422176833333	25.8985626066667	28.9180452433333	23.6191147266667
"219756_s_at"	"POF1B"	50.1422193033333	45.3897042633333	46.5095219966667	48.5939588833333
"219757_s_at"	"C14orf101"	56.0025096466667	45.2322689733333	42.54741288	65.11008085
"219758_at"	"FLJ12571"	31.8867918566667	32.2591729966667	29.8268781966667	30.1554481633333
